ID,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
510075000000,0,0.01,0,0.02,0.32,0.62,0.03,0.11,0.03,0
510075000000,0,0,0,0.04,0.23,0.67,0.05,0.07,0.01,0.01
510078000000,0.01,0.05,0,0.12,0.48,0.27,0.08,0.12,0.01,0.12
510078000000,0,0.06,0,0.11,0.38,0.39,0.07,0.17,0.01,0.1
510078000000,0,0.05,0,0.06,0.27,0.53,0.09,0.12,0.01,0.1
510078000000,0,0.07,0,0.09,0.34,0.46,0.04,0.12,0.02,0.11
510078000000,0.01,0.15,0,0.13,0.19,0.45,0.07,0.1,0,0.2
510078000000,0.01,0.01,0,0.19,0.49,0.21,0.09,0.13,0,0.15
510078000000,0,0.07,0,0.12,0.36,0.36,0.09,0.14,0.03,0.12
510078000000,0,0.01,0,0.17,0.52,0.26,0.05,0.15,0.01,0.12
510078000000,0,0.08,0,0.04,0.3,0.53,0.05,0.1,0.01,0.09
510078000000,0.06,0,0,0.06,0.52,0.23,0.13,0.13,0.13,0
510081000000,0,0.03,0,0.13,0.38,0.35,0.1,0.16,0,0.04
510081000000,0,0.02,0,0.06,0.04,0.8,0.06,0.18,0.01,0.02
510081000000,0,0.01,0.01,0.08,0.67,0.15,0.08,0.16,0,0.01
510081000000,0,0.04,0,0.09,0.48,0.3,0.09,0.18,0.01,0.03
510081000000,0,0.02,0,0.1,0.51,0.29,0.07,0.23,0.01,0.01
510081000000,0.01,0.02,0,0.12,0.17,0.62,0.06,0.19,0.02,0.07
510081000000,0.01,0.02,0,0.12,0.27,0.52,0.07,0.19,0.01,0.03
510081000000,0,0.03,0,0.06,0.13,0.71,0.07,0.2,0.01,0.02
510081000000,0,0.01,0,0.11,0.39,0.4,0.07,0.21,0,0.08
510081000000,0,0.01,0,0.16,0.54,0.25,0.05,0.22,0.01,0.08
510081000000,0.01,0.02,0,0.09,0.55,0.26,0.07,0.14,0,0.04
510081000000,0,0.04,0,0.09,0.08,0.72,0.07,0.14,0,0.02
510081000000,0,0.03,0,0.06,0.09,0.76,0.06,0.12,0.02,0.01
510081000000,0,0.02,0,0.06,0.06,0.79,0.06,0.16,0.01,0.01
510081000000,0,0.01,0,0.06,0.06,0.83,0.04,0.2,0.01,0.01
510144000000,0,0.01,0,0.04,0.08,0.82,0.05,0.13,0.03,0.01
510144000000,0,0.01,0,0.09,0.08,0.76,0.05,0.12,0.06,0.03
510144000000,0,0,0,0.04,0.04,0.88,0.05,0.16,0.01,0.04
510144000000,0.01,0.01,0,0.12,0.18,0.6,0.09,0.2,0.01,0.09
510144000000,0,0.01,0,0.11,0.2,0.56,0.12,0.23,0,0.07
510144000000,0,0,0,0.05,0.09,0.82,0.05,0.15,0,0.03
510144000000,0,0,0,0.11,0.14,0.66,0.09,0.16,0.04,0.06
510144000000,0,0.01,0,0.06,0.08,0.81,0.04,0.1,0.04,0.03
510144000000,0,0,0,0.08,0.06,0.8,0.05,0.15,0.06,0.04
510144000000,0,0,0,0.06,0.09,0.79,0.06,0.17,0.03,0.02
510144000000,0.01,0,0,0.05,0.02,0.91,0.01,0.13,0,0.02
510147000000,0,0.02,0,0.17,0.02,0.72,0.06,0.12,0.01,0.12
510147000000,0,0,0,0.03,0.01,0.92,0.03,0.17,0.01,0.01
510147000000,0,0.02,0,0.21,0.05,0.69,0.03,0.13,0.01,0.06
510147000000,0,0.01,0,0.1,0.05,0.79,0.04,0.11,0.02,0.01
510147000000,0.01,0.01,0,0.23,0.03,0.69,0.03,0.11,0.01,0.11
510147000000,0.01,0.01,0,0.15,0.05,0.71,0.08,0.1,0.01,0.07
510147000000,0,0,0,0.05,0.01,0.92,0.01,0.14,0.01,0
510147000000,0,0.01,0,0.05,0.03,0.9,0.02,0.13,0.01,0.01
510147000000,0,0.01,0,0.11,0.05,0.76,0.08,0.13,0.01,0.02
510147000000,0,0.01,0,0.21,0.01,0.73,0.03,0.13,0.01,0.13
510147000000,0.01,0.02,0,0.29,0.08,0.54,0.06,0.12,0.01,0.16
510147000000,0.01,0.01,0,0.06,0.01,0.9,0.02,0.11,0.01,0.01
510147000000,0,0.01,0,0.12,0.04,0.78,0.05,0.12,0,0.06
510147000000,0,0.02,0,0.18,0.07,0.68,0.04,0.11,0.02,0.05
510147000000,0,0.02,0,0.19,0.05,0.7,0.04,0.13,0.01,0.04
510147000000,0,0.02,0,0.28,0.05,0.59,0.06,0.1,0,0.18
510147000000,0,0.02,0,0.14,0.05,0.73,0.06,0.1,0,0.08
510225000000,0.01,0.18,0,0.16,0.08,0.53,0.04,0.16,0,0.13
510225000000,0,0.07,0,0.15,0.05,0.66,0.06,0.14,0,0.09
510225000000,0.01,0.07,0,0.24,0.06,0.53,0.08,0.16,0,0.17
510225000000,0,0.28,0,0.07,0.06,0.53,0.06,0.07,0.01,0.01
510225000000,0.02,0.21,0,0.45,0.06,0.22,0.03,0.11,0,0.43
510225000000,0,0.11,0,0.17,0.1,0.56,0.06,0.15,0.01,0.05
510225000000,0.01,0.25,0,0.1,0.05,0.52,0.06,0.09,0,0.1
510225000000,0.01,0.15,0,0.16,0.08,0.55,0.05,0.1,0,0.18
510225000000,0,0.14,0,0.21,0.07,0.53,0.05,0.12,0,0.06
510225000000,0,0.2,0,0.08,0.1,0.54,0.07,0.09,0,0.09
510225000000,0,0.13,0,0.28,0.08,0.48,0.03,0.11,0.01,0.1
510225000000,0.01,0.07,0,0.31,0.06,0.49,0.06,0.14,0,0.25
510225000000,0.01,0.12,0,0.26,0.11,0.42,0.08,0.13,0,0.23
510225000000,0,0.18,0,0.1,0.07,0.56,0.07,0.09,0,0.02
510225000000,0,0.02,0,0.11,0.04,0.79,0.05,0.2,0,0.05
510225000000,0,0.06,0,0.26,0.07,0.55,0.05,0.15,0.01,0.09
510225000000,0,0.26,0,0.09,0.07,0.52,0.05,0.11,0,0.02
510225000000,0,0.31,0,0.06,0.05,0.54,0.04,0.1,0,0.08
510225000000,0.01,0.19,0,0.1,0.05,0.59,0.06,0.14,0,0.06
510225000000,0,0.34,0,0.08,0.07,0.43,0.06,0.07,0,0.03
510225000000,0,0.19,0,0.08,0.07,0.62,0.04,0.08,0.01,0.01
510225000000,0,0.32,0,0.05,0.04,0.53,0.07,0.08,0,0.02
510225000000,0,0.38,0,0.06,0.1,0.4,0.06,0.07,0,0.1
510225000000,0,0.12,0,0.09,0.07,0.66,0.05,0.11,0,0.01
510225000000,0.01,0.26,0,0.05,0.04,0.6,0.04,0.13,0,0.07
510225000000,0,0.28,0,0.03,0.03,0.6,0.06,0.07,0,0.04
510225000000,0,0.63,0,0.05,0.06,0.21,0.05,0.07,0,0.09
510225000000,0.01,0.07,0,0.08,0.03,0.74,0.06,0.13,0.01,0.04
510300000000,0,0.01,0,0.03,0.62,0.29,0.04,0.11,0.02,0.01
510300000000,0,0.01,0,0.04,0.31,0.61,0.03,0.1,0.01,0
510300000000,0,0.01,0.01,0.02,0.84,0.09,0.03,0.08,0.01,0
510300000000,0.01,0.01,0.01,0.01,0.61,0.34,0.02,0.09,0.01,0
510300000000,0,0.01,0.01,0.03,0.65,0.26,0.05,0.11,0.02,0
510300000000,0,0.01,0.01,0.05,0.79,0.12,0.02,0.08,0.01,0
510300000000,0,0,0,0.01,0.97,0.01,0,0.07,0.01,0
510300000000,0,0.01,0,0.04,0.77,0.14,0.04,0.12,0,0
510300000000,0,0.01,0,0.01,0.8,0.18,0,0.06,0,0
510300000000,0.01,0.01,0.01,0.05,0.59,0.29,0.04,0.09,0,0
510300000000,0.01,0.01,0,0.06,0.65,0.18,0.09,0.08,0,0
510300000000,0,0.01,0,0.02,0.67,0.25,0.05,0.13,0,0
510303000000,0,0,0,0.03,0.06,0.87,0.03,0.11,0.04,0
510303000000,0.01,0.01,0.01,0.04,0.06,0.85,0.03,0.1,0.03,0
510303000000,0,0.01,0,0.01,0.11,0.86,0.01,0.15,0.01,0.01
510303000000,0,0.01,0,0.03,0.04,0.89,0.03,0.12,0.02,0
510303000000,0,0,0.01,0.02,0.07,0.88,0.02,0.12,0.04,0
510303000000,0,0,0,0.04,0.04,0.89,0.02,0.21,0.02,0.01
510306000000,0,0.01,0,0.02,0.59,0.37,0,0.14,0.03,0.01
510306000000,0,0.01,0,0.03,0.55,0.37,0.04,0.14,0.01,0.02
510306000000,0,0.02,0.01,0.03,0.56,0.37,0.01,0.13,0.02,0.01
510309000000,0,0.01,0.02,0.18,0.22,0.49,0.09,0.11,0.02,0.01
510309000000,0.01,0.01,0.01,0.11,0.31,0.49,0.06,0.1,0.03,0.02
510309000000,0,0.02,0.01,0.16,0.38,0.35,0.08,0.11,0.01,0.04
510309000000,0.01,0.01,0.01,0.09,0.34,0.48,0.05,0.11,0.03,0.01
510309000000,0,0.01,0.01,0.09,0.25,0.56,0.08,0.11,0.02,0.02
510309000000,0,0.01,0.01,0.08,0.34,0.5,0.05,0.07,0.01,0.01
510360000000,0,0,0,0.01,0.5,0.45,0.03,0.11,0.01,0
510360000000,0,0,0,0.01,0.4,0.57,0.01,0.12,0.03,0
510360000000,0.01,0.01,0.01,0.02,0.43,0.52,0.01,0.09,0.04,0
510360000000,0.01,0,0,0.01,0.46,0.5,0.02,0.12,0.01,0
510360000000,0.01,0.01,0,0.01,0.22,0.74,0.01,0.05,0.01,0
510360000000,0,0,0,0,0.76,0.24,0,0,0,0
510364000000,0.01,0.03,0,0.17,0.23,0.49,0.07,0.13,0.01,0.08
510364000000,0.01,0.01,0,0.08,0.08,0.74,0.07,0.19,0.01,0.01
510364000000,0,0.03,0,0.16,0.17,0.58,0.07,0.14,0.01,0.07
510364000000,0,0.02,0,0.11,0.25,0.58,0.04,0.12,0.04,0.04
510364000000,0,0.02,0,0.13,0.15,0.63,0.07,0.16,0.01,0.05
510364000000,0,0,0,0.06,0.36,0.53,0.06,0,0.06,0.06
510364000000,0,0.02,0,0.23,0.18,0.48,0.09,0.11,0.01,0.12
510364000000,0,0.04,0,0.21,0.23,0.45,0.07,0.11,0.03,0.08
510364000000,0,0.02,0,0.04,0.1,0.8,0.04,0.13,0.01,0.01
510364000000,0.01,0.04,0,0.07,0.08,0.71,0.09,0.1,0.02,0.04
510364000000,0,0.01,0,0.05,0.09,0.8,0.05,0.14,0.03,0.01
510364000000,0,0.02,0,0.15,0.23,0.49,0.09,0.08,0,0.1
510364000000,0.01,0,0,0.04,0.09,0.76,0.1,0.13,0.01,0.01
510364000000,0,0.01,0,0.08,0.14,0.69,0.08,0.08,0.01,0.02
510364000000,0,0.02,0,0.2,0.22,0.46,0.09,0.12,0,0.12
510364000000,0,0.01,0,0.04,0.12,0.77,0.06,0.13,0.03,0.01
510364000000,0,0.02,0.01,0.13,0.16,0.6,0.08,0.12,0.02,0.04
510364000000,0,0.02,0,0.12,0.18,0.62,0.05,0.07,0.04,0.02
510364000000,0,0.02,0,0.31,0.21,0.37,0.09,0.11,0.01,0.15
510364000000,0,0.04,0,0.12,0.25,0.54,0.04,0.11,0.03,0.04
510364000000,0.01,0.01,0.01,0.08,0.1,0.76,0.04,0.14,0.03,0.01
510084000000,0,0.07,0,0.04,0.1,0.75,0.04,0.1,0,0
510084000000,0,0.04,0,0.06,0.17,0.66,0.07,0.13,0.01,0.05
510084000000,0,0.04,0,0.12,0.28,0.46,0.1,0.18,0.01,0.09
510084000000,0,0.06,0,0.06,0.11,0.71,0.06,0.15,0.01,0.04
510084000000,0,0.03,0,0.14,0.33,0.45,0.05,0.12,0,0.1
510084000000,0,0.04,0,0.13,0.23,0.53,0.06,0.15,0,0.11
510084000000,0,0.05,0,0.05,0.08,0.78,0.04,0.11,0.01,0.03
510084000000,0.01,0.02,0,0.11,0.32,0.51,0.05,0.13,0,0.05
510084000000,0,0.04,0,0.05,0.14,0.73,0.03,0.09,0.01,0
510084000000,0,0.04,0,0.06,0.1,0.75,0.04,0.11,0.01,0.01
510084000000,0,0.03,0,0.15,0.25,0.51,0.05,0.13,0.01,0.02
510084000000,0,0.04,0,0.37,0.19,0.36,0.04,0.1,0,0.33
510084000000,0,0.06,0,0.06,0.08,0.75,0.05,0.08,0,0.03
510084000000,0,0.05,0,0.32,0.32,0.32,0,0.1,0,0.1
510084000000,0.01,0.01,0.01,0.18,0.35,0.41,0.04,0.17,0.01,0.09
510087000000,0,0.01,0,0.1,0.04,0.74,0.1,0.15,0.03,0.04
510087000000,0,0.02,0,0.11,0.03,0.77,0.08,0.12,0.02,0.02
510087000000,0,0.01,0,0.08,0.03,0.81,0.08,0.12,0.03,0.04
510087000000,0.01,0.02,0,0.07,0.03,0.82,0.05,0.11,0.02,0.01
510093000000,0.01,0.01,0,0.05,0.22,0.59,0.11,0.16,0.02,0.01
510093000000,0.01,0.01,0,0.06,0.18,0.64,0.11,0.11,0.04,0.02
510096000000,0,0.04,0,0.07,0.15,0.7,0.04,0.16,0.03,0.01
510096000000,0,0.02,0,0.06,0.15,0.71,0.05,0.17,0.01,0.02
510096000000,0,0.03,0,0.07,0.21,0.59,0.11,0.16,0.01,0.02
510096000000,0.01,0.06,0.01,0.06,0.34,0.48,0.05,0.11,0.01,0.13
510096000000,0,0.02,0,0.07,0.11,0.71,0.08,0.15,0.01,0.04
510099000000,0.01,0.01,0.01,0.05,0.15,0.73,0.05,0.19,0.02,0
510000000000,0,0,0,0,0,0.96,0.04,0.09,0.11,0
510001000000,0,0,0,0.02,0.08,0.85,0.05,0.97,0,0
510002000000,0,0.03,0,0.06,0.58,0.3,0.03,0.97,0,0
510002000000,0,0.01,0,0,0.55,0.38,0.05,0.98,0,0
510180000000,0.01,0.02,0,0.04,0.68,0.18,0.07,0.12,0.05,0
510180000000,0.01,0.01,0,0.05,0.52,0.31,0.1,0.11,0.02,0.02
510180000000,0,0.01,0,0.05,0.76,0.1,0.07,0.07,0.03,0.01
510180000000,0,0.03,0.01,0.08,0.4,0.42,0.06,0.08,0.04,0
510180000000,0,0.01,0,0.05,0.76,0.12,0.07,0.14,0.02,0.01
510180000000,0,0.03,0,0.08,0.56,0.23,0.1,0.13,0.03,0.02
510180000000,0,0,0,0.05,0.5,0.41,0.05,0.16,0.12,0.02
510180000000,0.04,0,0,0,0.82,0.07,0.07,0.25,0.07,0
510180000000,0,0.03,0,0.03,0.48,0.44,0.03,0.06,0.1,0
510180000000,0,0.05,0,0.05,0.33,0.48,0.08,0.03,0.03,0
510183000000,0,0.03,0,0.03,0.06,0.86,0.02,0.11,0.02,0
510183000000,0,0.02,0,0.02,0.04,0.87,0.04,0.12,0.02,0
510183000000,0.01,0.01,0,0.02,0.09,0.83,0.05,0.12,0,0.01
510183000000,0,0.02,0,0.13,0.15,0.64,0.05,0.13,0.01,0.07
510183000000,0,0.02,0,0.15,0.22,0.55,0.07,0.13,0,0.09
510183000000,0.01,0.01,0,0.18,0.23,0.53,0.04,0.15,0.01,0.05
510183000000,0.01,0.01,0,0.03,0.11,0.81,0.02,0.14,0.02,0.01
510183000000,0,0.01,0,0.07,0.12,0.76,0.04,0.13,0.03,0.01
510183000000,0,0.01,0,0.06,0.18,0.69,0.06,0.15,0.02,0.02
510183000000,0.01,0.01,0,0.05,0.14,0.78,0.02,0.13,0.02,0.01
510183000000,0,0.03,0,0.04,0.04,0.87,0.01,0.09,0.01,0.01
510183000000,0.01,0.01,0,0.02,0.05,0.87,0.05,0.13,0.01,0.01
510183000000,0,0.02,0,0.04,0.09,0.8,0.04,0.16,0.02,0.01
510183000000,0.01,0.02,0,0.04,0.06,0.84,0.04,0.13,0,0.02
510183000000,0.01,0.03,0,0.02,0.04,0.87,0.02,0.13,0.02,0.02
510183000000,0,0.01,0,0.06,0.07,0.81,0.05,0.13,0.02,0.02
510183000000,0,0.01,0,0.02,0.09,0.84,0.04,0.14,0.01,0.02
510183000000,0,0.03,0,0.02,0.07,0.86,0.02,0.13,0.02,0
510246000000,0,0.01,0,0.04,0.45,0.44,0.05,0.12,0.03,0.01
510246000000,0,0,0,0,0.71,0.29,0,0,0.14,0
510249000000,0,0.01,0,0.03,0.19,0.71,0.06,0.09,0.03,0
510249000000,0.01,0.01,0,0.02,0.17,0.73,0.06,0.11,0.01,0.01
510249000000,0,0.01,0,0.05,0.19,0.71,0.05,0.12,0,0.01
510252000000,0,0.01,0,0.04,0.07,0.85,0.03,0.09,0.03,0.01
510252000000,0,0.17,0,0.03,0.01,0.73,0.05,0.11,0.01,0.08
510252000000,0,0,0,0.02,0.01,0.96,0,0.08,0.06,0.01
510252000000,0,0.01,0,0.06,0.08,0.82,0.03,0.14,0.01,0.01
510252000000,0,0.07,0,0.03,0.04,0.82,0.04,0.1,0.05,0.02
510252000000,0,0.09,0,0.05,0.03,0.78,0.05,0.08,0.05,0.03
510252000000,0,0.01,0,0.04,0.08,0.83,0.05,0.08,0.05,0.01
510252000000,0,0.01,0,0.03,0.08,0.84,0.04,0.09,0.04,0.02
510252000000,0,0.01,0,0.07,0.07,0.8,0.04,0.09,0.01,0.02
510252000000,0,0.16,0,0.04,0.03,0.74,0.04,0.1,0.01,0.04
510252000000,0,0.1,0,0.08,0.03,0.73,0.06,0.08,0.01,0.07
510252000000,0,0.06,0,0.08,0.08,0.74,0.05,0.11,0.02,0.06
510252000000,0,0.02,0,0.06,0.05,0.83,0.04,0.13,0.02,0.02
510252000000,0.01,0.01,0,0.06,0,0.89,0.03,0.12,0.05,0.05
510252000000,0.01,0,0,0.03,0.01,0.91,0.03,0.1,0.03,0.01
510252000000,0.01,0,0,0.04,0.01,0.93,0.01,0.09,0.07,0.01
510252000000,0,0.01,0.01,0.05,0.12,0.76,0.05,0.07,0.04,0.03
510252000000,0,0,0,0.03,0.06,0.85,0.06,0.29,0.24,0.03
510252000000,0.01,0.01,0,0.04,0.02,0.91,0.01,0.1,0.06,0.01
510252000000,0,0,0,0.09,0.01,0.89,0.01,0.11,0.01,0.07
