ID,Category,Total,With State Certification
510030000118,Classroom Teachers,1,1
510030000118,Classroom teachers in their first year of teaching,0,
510030000118,Classroom teachers in their second year of teaching,0.06,
510030000118,Teachers absent more than 10 days of the school year,0.38,
510030000118,Teachers employed during current school year,0.99,
510030000118,Teachers employed during both the current and previous school year,0.93,
510030000118,High-School Counselors,1,
510030000118,Total enrollment,,
510030000119,Classroom Teachers,1,1
510030000119,Classroom teachers in their first year of teaching,0,
510030000119,Classroom teachers in their second year of teaching,0.08,
510030000119,Teachers absent more than 10 days of the school year,0.2,
510030000119,Teachers employed during current school year,1.16,
510030000119,Teachers employed during both the current and previous school year,0.96,
510030000119,High-School Counselors,1,
510030000119,Total enrollment,,
510030000120,Classroom Teachers,1,0.94
510030000120,Classroom teachers in their first year of teaching,0.06,
510030000120,Classroom teachers in their second year of teaching,0.13,
510030000120,Teachers absent more than 10 days of the school year,0.31,
510030000120,Teachers employed during current school year,1.13,
510030000120,Teachers employed during both the current and previous school year,1,
510030000120,High-School Counselors,1,
510030000120,Total enrollment,,
510030000124,Classroom Teachers,1,0.95
510030000124,Classroom teachers in their first year of teaching,0.06,
510030000124,Classroom teachers in their second year of teaching,0.05,
510030000124,Teachers absent more than 10 days of the school year,0.14,
510030000124,Teachers employed during current school year,1,
510030000124,Teachers employed during both the current and previous school year,0.88,
510030000124,High-School Counselors,1,
510030000124,Total enrollment,,
510030000127,Classroom Teachers,1,1
510030000127,Classroom teachers in their first year of teaching,0.08,
510030000127,Classroom teachers in their second year of teaching,0.04,
510030000127,Teachers absent more than 10 days of the school year,0.17,
510030000127,Teachers employed during current school year,1,
510030000127,Teachers employed during both the current and previous school year,0.79,
510030000127,High-School Counselors,1,
510030000127,Total enrollment,,
510030000128,Classroom Teachers,1,1
510030000128,Classroom teachers in their first year of teaching,0.12,
510030000128,Classroom teachers in their second year of teaching,0.02,
510030000128,Teachers absent more than 10 days of the school year,0.17,
510030000128,Teachers employed during current school year,1,
510030000128,Teachers employed during both the current and previous school year,0.85,
510030000128,High-School Counselors,1,
510030000128,Total enrollment,,
510030000129,Classroom Teachers,1,1
510030000129,Classroom teachers in their first year of teaching,0,
510030000129,Classroom teachers in their second year of teaching,0.15,
510030000129,Teachers absent more than 10 days of the school year,0.22,
510030000129,Teachers employed during current school year,1.1,
510030000129,Teachers employed during both the current and previous school year,0.95,
510030000129,High-School Counselors,1,
510030000129,Total enrollment,,
510030000130,Classroom Teachers,1,0.98
510030000130,Classroom teachers in their first year of teaching,0.02,
510030000130,Classroom teachers in their second year of teaching,0.02,
510030000130,Teachers absent more than 10 days of the school year,0.18,
510030000130,Teachers employed during current school year,1.08,
510030000130,Teachers employed during both the current and previous school year,1.08,
510030000130,High-School Counselors,1,
510030000130,Total enrollment,,
510030000131,Classroom Teachers,1,1
510030000131,Classroom teachers in their first year of teaching,0.02,
510030000131,Classroom teachers in their second year of teaching,0.05,
510030000131,Teachers absent more than 10 days of the school year,0.21,
510030000131,Teachers employed during current school year,1.08,
510030000131,Teachers employed during both the current and previous school year,1.01,
510030000131,High-School Counselors,1,
510030000131,Total enrollment,,
510030000132,Classroom Teachers,1,0.98
510030000132,Classroom teachers in their first year of teaching,0.11,
510030000132,Classroom teachers in their second year of teaching,0.07,
510030000132,Teachers absent more than 10 days of the school year,0.19,
510030000132,Teachers employed during current school year,1.05,
510030000132,Teachers employed during both the current and previous school year,0.81,
510030000132,High-School Counselors,1,
510030000132,Total enrollment,,
510030000135,Classroom Teachers,1,1
510030000135,Classroom teachers in their first year of teaching,0.08,
510030000135,Classroom teachers in their second year of teaching,0.12,
510030000135,Teachers absent more than 10 days of the school year,0.44,
510030000135,Teachers employed during current school year,1.12,
510030000135,Teachers employed during both the current and previous school year,0.88,
510030000135,High-School Counselors,1,
510030000135,Total enrollment,,
510030000137,Classroom Teachers,1,0.96
510030000137,Classroom teachers in their first year of teaching,0.06,
510030000137,Classroom teachers in their second year of teaching,0.06,
510030000137,Teachers absent more than 10 days of the school year,0.25,
510030000137,Teachers employed during current school year,1,
510030000137,Teachers employed during both the current and previous school year,0.96,
510030000137,High-School Counselors,1,
510030000137,Total enrollment,,
510030000138,Classroom Teachers,1,1
510030000138,Classroom teachers in their first year of teaching,0.04,
510030000138,Classroom teachers in their second year of teaching,0,
510030000138,Teachers absent more than 10 days of the school year,0.16,
510030000138,Teachers employed during current school year,1.14,
510030000138,Teachers employed during both the current and previous school year,0.98,
510030000138,High-School Counselors,1,
510030000138,Total enrollment,,
510030001080,Classroom Teachers,1,1
510030001080,Classroom teachers in their first year of teaching,0.05,
510030001080,Classroom teachers in their second year of teaching,0.05,
510030001080,Teachers absent more than 10 days of the school year,0.17,
510030001080,Teachers employed during current school year,1.05,
510030001080,Teachers employed during both the current and previous school year,1.05,
510030001080,High-School Counselors,1,
510030001080,Total enrollment,,
510030001830,Classroom Teachers,1,1
510030001830,Classroom teachers in their first year of teaching,0,
510030001830,Classroom teachers in their second year of teaching,0,
510030001830,Teachers absent more than 10 days of the school year,0.37,
510030001830,Teachers employed during current school year,1,
510030001830,Teachers employed during both the current and previous school year,1,
510030001830,High-School Counselors,1,
510030001830,Total enrollment,,
510030001901,Classroom Teachers,1,1
510030001901,Classroom teachers in their first year of teaching,0.07,
510030001901,Classroom teachers in their second year of teaching,0,
510030001901,Teachers absent more than 10 days of the school year,0.18,
510030001901,Teachers employed during current school year,0.96,
510030001901,Teachers employed during both the current and previous school year,0.79,
510030001901,High-School Counselors,1,
510030001901,Total enrollment,,
510030002140,Classroom Teachers,1,0.98
510030002140,Classroom teachers in their first year of teaching,0.09,
510030002140,Classroom teachers in their second year of teaching,0.06,
510030002140,Teachers absent more than 10 days of the school year,0.25,
510030002140,Teachers employed during current school year,1.17,
510030002140,Teachers employed during both the current and previous school year,0.94,
510030002140,High-School Counselors,1,
510030002140,Total enrollment,,
510099000369,Classroom Teachers,1,1
510099000369,Classroom teachers in their first year of teaching,0.05,
510099000369,Classroom teachers in their second year of teaching,0,
510099000369,Teachers absent more than 10 days of the school year,0.2,
510099000369,Teachers employed during current school year,1.06,
510099000369,Teachers employed during both the current and previous school year,2.13,
510099000369,High-School Counselors,1,
510099000369,Total enrollment,,
510102000372,Classroom Teachers,1,1
510102000372,Classroom teachers in their first year of teaching,0.08,
510102000372,Classroom teachers in their second year of teaching,0.08,
510102000372,Teachers absent more than 10 days of the school year,0.41,
510102000372,Teachers employed during current school year,0.98,
510102000372,Teachers employed during both the current and previous school year,0.94,
510102000372,High-School Counselors,1,
510102000372,Total enrollment,,
510102002111,Classroom Teachers,1,1
510102002111,Classroom teachers in their first year of teaching,0.03,
510102002111,Classroom teachers in their second year of teaching,0.07,
510102002111,Teachers absent more than 10 days of the school year,0.49,
510102002111,Teachers employed during current school year,1.01,
510102002111,Teachers employed during both the current and previous school year,0.94,
510102002111,High-School Counselors,1,
510102002111,Total enrollment,,
510105000374,Classroom Teachers,1,1
510105000374,Classroom teachers in their first year of teaching,0,
510105000374,Classroom teachers in their second year of teaching,0,
510105000374,Teachers absent more than 10 days of the school year,0.21,
510105000374,Teachers employed during current school year,1,
510105000374,Teachers employed during both the current and previous school year,0.88,
510105000374,High-School Counselors,1,
510105000374,Total enrollment,,
510105000376,Classroom Teachers,1,0.99
510105000376,Classroom teachers in their first year of teaching,0.04,
510105000376,Classroom teachers in their second year of teaching,0.08,
510105000376,Teachers absent more than 10 days of the school year,0.25,
510105000376,Teachers employed during current school year,0.99,
510105000376,Teachers employed during both the current and previous school year,0.82,
510105000376,High-School Counselors,1,
510105000376,Total enrollment,,
510105000377,Classroom Teachers,1,0.99
510105000377,Classroom teachers in their first year of teaching,0.17,
510105000377,Classroom teachers in their second year of teaching,0.06,
510105000377,Teachers absent more than 10 days of the school year,0.17,
510105000377,Teachers employed during current school year,1,
510105000377,Teachers employed during both the current and previous school year,0.67,
510105000377,High-School Counselors,1,
510105000377,Total enrollment,,
510105000378,Classroom Teachers,1,1
510105000378,Classroom teachers in their first year of teaching,0.12,
510105000378,Classroom teachers in their second year of teaching,0.12,
510105000378,Teachers absent more than 10 days of the school year,0.27,
510105000378,Teachers employed during current school year,1,
510105000378,Teachers employed during both the current and previous school year,0.93,
510105000378,High-School Counselors,1,
510105000378,Total enrollment,,
510105000380,Classroom Teachers,1,1
510105000380,Classroom teachers in their first year of teaching,0.09,
510105000380,Classroom teachers in their second year of teaching,0.04,
510105000380,Teachers absent more than 10 days of the school year,0.33,
510105000380,Teachers employed during current school year,1,
510105000380,Teachers employed during both the current and previous school year,0.93,
510105000380,High-School Counselors,1,
510105000380,Total enrollment,,
510105000382,Classroom Teachers,1,1
510105000382,Classroom teachers in their first year of teaching,0.18,
510105000382,Classroom teachers in their second year of teaching,0.13,
510105000382,Teachers absent more than 10 days of the school year,0.13,
510105000382,Teachers employed during current school year,1,
510105000382,Teachers employed during both the current and previous school year,0.84,
510105000382,High-School Counselors,1,
510105000382,Total enrollment,,
510105001612,Classroom Teachers,1,1
510105001612,Classroom teachers in their first year of teaching,0.08,
510105001612,Classroom teachers in their second year of teaching,0.06,
510105001612,Teachers absent more than 10 days of the school year,0.14,
510105001612,Teachers employed during current school year,1,
510105001612,Teachers employed during both the current and previous school year,0.82,
510105001612,High-School Counselors,1,
510105001612,Total enrollment,,
510105001958,Classroom Teachers,1,0.98
510105001958,Classroom teachers in their first year of teaching,0.17,
510105001958,Classroom teachers in their second year of teaching,0.14,
510105001958,Teachers absent more than 10 days of the school year,0.43,
510105001958,Teachers employed during current school year,1,
510105001958,Teachers employed during both the current and previous school year,0.72,
510105001958,High-School Counselors,1,
510105001958,Total enrollment,,
510105001959,Classroom Teachers,1,1
510105001959,Classroom teachers in their first year of teaching,0,
510105001959,Classroom teachers in their second year of teaching,0,
510105001959,Teachers absent more than 10 days of the school year,0,
510105001959,Teachers employed during current school year,1,
510105001959,Teachers employed during both the current and previous school year,1,
510105001959,High-School Counselors,1,
510105001959,Total enrollment,,
510105002748,Classroom Teachers,1,1
510105002748,Classroom teachers in their first year of teaching,0.06,
510105002748,Classroom teachers in their second year of teaching,0.06,
510105002748,Teachers absent more than 10 days of the school year,0.1,
510105002748,Teachers employed during current school year,1,
510105002748,Teachers employed during both the current and previous school year,0.88,
510105002748,High-School Counselors,1,
510105002748,Total enrollment,,
510105002758,Classroom Teachers,1,0.98
510105002758,Classroom teachers in their first year of teaching,0.16,
510105002758,Classroom teachers in their second year of teaching,0.09,
510105002758,Teachers absent more than 10 days of the school year,0.28,
510105002758,Teachers employed during current school year,1,
510105002758,Teachers employed during both the current and previous school year,0.74,
510105002758,High-School Counselors,1,
510105002758,Total enrollment,,
510108000057,Classroom Teachers,1,1
510108000057,Classroom teachers in their first year of teaching,0.05,
510108000057,Classroom teachers in their second year of teaching,0.14,
510108000057,Teachers absent more than 10 days of the school year,0.27,
510108000057,Teachers employed during current school year,1,
510108000057,Teachers employed during both the current and previous school year,1.97,
510108000057,High-School Counselors,1,
510108000057,Total enrollment,,
510108000058,Classroom Teachers,1,1
510108000058,Classroom teachers in their first year of teaching,0.06,
510108000058,Classroom teachers in their second year of teaching,0.16,
