School Year,Division Number,Division Name,School Number,School Name,Subject,Test Source,Pass Rate,Division Number,State School ID
2017-2018,5,Amherst County,740,Temperance Elementary,History and Social Science,SOL,100,5,VA-005-0050740
2017-2018,7,Arlington County,380,McKinley Elementary,Science,SOL,100,7,VA-007-0070380
2017-2018,21,Chesterfield County,730,Robious Elementary,History and Social Science,SOL,100,21,VA-021-0210730
2017-2018,29,Fairfax County,110,Archer Elementary,History and Social Science,SOL,100,29,VA-029-0290110
2017-2018,29,Fairfax County,370,Forestville Elementary,Science,SOL,100,29,VA-029-0290370
2017-2018,29,Fairfax County,530,Graham Road Elementary,History and Social Science,SOL,100,29,VA-029-0290530
2017-2018,29,Fairfax County,1371,Thomas Jefferson High for Science and Technology,English:Reading,SOL,100,29,VA-029-0291371
2017-2018,29,Fairfax County,1371,Thomas Jefferson High for Science and Technology,English:Writing,SOL,100,29,VA-029-0291371
2017-2018,29,Fairfax County,1371,Thomas Jefferson High for Science and Technology,History and Social Science,SOL,100,29,VA-029-0291371
2017-2018,29,Fairfax County,1371,Thomas Jefferson High for Science and Technology,Mathematics,SOL,100,29,VA-029-0291371
2017-2018,29,Fairfax County,1371,Thomas Jefferson High for Science and Technology,Science,SOL,100,29,VA-029-0291371
2017-2018,38,Grayson County,440,Baywood Elementary,History and Social Science,SOL,100,38,VA-038-0380440
2017-2018,43,Henrico County,95,Holman Middle,History and Social Science,SOL,100,43,VA-043-0430095
2017-2018,43,Henrico County,270,Nuckols Farm Elementary,History and Social Science,SOL,100,43,VA-043-0430270
2017-2018,43,Henrico County,300,Echo Lake Elementary,History and Social Science,SOL,100,43,VA-043-0430300
2017-2018,43,Henrico County,710,Shady Grove Elementary,History and Social Science,SOL,100,43,VA-043-0430710
2017-2018,45,Highland County,110,Highland Elementary,History and Social Science,SOL,100,45,VA-045-0450110
2017-2018,52,Lee County,670,Rose Hill Elementary,History and Social Science,SOL,100,52,VA-052-0520670
2017-2018,53,Loudoun County,290,Lincoln Elementary,History and Social Science,SOL,100,53,VA-053-0530290
2017-2018,53,Loudoun County,500,Lowes Island Elementary,History and Social Science,SOL,100,53,VA-053-0530500
2017-2018,70,Patrick County,440,Blue Ridge Elementary,Science,SOL,100,70,VA-070-0700440
2017-2018,71,Pittsylvania County,30,John L. Hurt Elementary,History and Social Science,SOL,100,71,VA-071-0710030
