School Year,Division Number,Division Name,School Number,School Name,Subject,Test Source,Pass Rate,Division Number,State School ID
2017-2018,001,Accomack County,70,Nandua High,History and Social Science,SOL,71.13,001,VA-001-0010070
2017-2018,001,Accomack County,70,Nandua High,Mathematics,SOL,77.34,001,VA-001-0010070
2017-2018,001,Accomack County,70,Nandua High,English:Writing,SOL,78.68,001,VA-001-0010070
2017-2018,001,Accomack County,70,Nandua High,Science,SOL,81.57,001,VA-001-0010070
2017-2018,001,Accomack County,70,Nandua High,English:Reading,SOL,85.11,001,VA-001-0010070
2017-2018,001,Accomack County,80,Chincoteague Elementary,Mathematics,SOL,72.17,001,VA-001-0010080
2017-2018,001,Accomack County,80,Chincoteague Elementary,History and Social Science,SOL,77.14,001,VA-001-0010080
2017-2018,001,Accomack County,80,Chincoteague Elementary,English:Reading,SOL,78.26,001,VA-001-0010080
2017-2018,001,Accomack County,80,Chincoteague Elementary,Science,SOL,85.71,001,VA-001-0010080
2017-2018,001,Accomack County,530,Tangier Combined,Science,SOL,74.07,001,VA-001-0010530
2017-2018,001,Accomack County,530,Tangier Combined,English:Writing,SOL,78.57,001,VA-001-0010530
2017-2018,001,Accomack County,530,Tangier Combined,Mathematics,SOL,83.33,001,VA-001-0010530
2017-2018,001,Accomack County,530,Tangier Combined,English:Reading,SOL,83.78,001,VA-001-0010530
2017-2018,001,Accomack County,530,Tangier Combined,History and Social Science,SOL,95.45,001,VA-001-0010530
2017-2018,001,Accomack County,540,Arcadia High,Science,SOL,67.44,001,VA-001-0010540
2017-2018,001,Accomack County,540,Arcadia High,Mathematics,SOL,74.12,001,VA-001-0010540
2017-2018,001,Accomack County,540,Arcadia High,English:Writing,SOL,74.5,001,VA-001-0010540
2017-2018,001,Accomack County,540,Arcadia High,History and Social Science,SOL,75.27,001,VA-001-0010540
2017-2018,001,Accomack County,540,Arcadia High,English:Reading,SOL,82.67,001,VA-001-0010540
2017-2018,001,Accomack County,580,Chincoteague High,English:Writing,SOL,80.26,001,VA-001-0010580
2017-2018,001,Accomack County,580,Chincoteague High,History and Social Science,SOL,84.91,001,VA-001-0010580
2017-2018,001,Accomack County,580,Chincoteague High,Mathematics,SOL,87.07,001,VA-001-0010580
2017-2018,001,Accomack County,580,Chincoteague High,English:Reading,SOL,88.05,001,VA-001-0010580
2017-2018,001,Accomack County,580,Chincoteague High,Science,SOL,88.61,001,VA-001-0010580
2017-2018,001,Accomack County,590,Pungoteague Elementary,English:Reading,SOL,74.65,001,VA-001-0010590
2017-2018,001,Accomack County,590,Pungoteague Elementary,Science,SOL,80.56,001,VA-001-0010590
2017-2018,001,Accomack County,590,Pungoteague Elementary,Mathematics,SOL,83.1,001,VA-001-0010590
2017-2018,001,Accomack County,590,Pungoteague Elementary,History and Social Science,SOL,90.28,001,VA-001-0010590
2017-2018,001,Accomack County,600,Kegotank Elementary,English:Reading,SOL,67.02,001,VA-001-0010600
2017-2018,001,Accomack County,600,Kegotank Elementary,Mathematics,SOL,75.79,001,VA-001-0010600
