"School Year","Division Number","Division Name","School Number","School Name","Subject","Race","Gender","Disadvantaged","English Learner","Migrant","Homeless","Military","Foster Care","Disabled","Test Source","Pass Rate"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Asian","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Asian","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Asian","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Asian","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Asian","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Asian","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Asian","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Mathematics","Asian","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","Science","Asian","F","N","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","English:Reading","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","160","Agnor-Hurt Elementary","History and Social Science","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
