VA District ID,District Name,total_school,FTE,ELI,IEP,Total Revenue,Total Expenditures,Student to Teacher Ration,Locale,Total Students
1,Accomack Co Pblc Schs,13,323.67,754,703,55068000,54526000,16.26,Rural: Remote (43),"5,262"
2,Albemarle Co Pblc Schs,26,"1,032.52",935,"1,672",199378000,186063000,13.36,Rural: Fringe (41),"13,790"
3,Alleghany Co Pblc Schs,5,165.3,6,314,29370000,28016000,13.58,Rural: Fringe (41),"2,244"
4,Amelia Co Pblc Schs,3,107.69,40,199,17285000,21557000,16.79,Rural: Distant (42),"1,808"
5,Amherst Co Pblc Schs,9,314.19,21,591,48519000,47033000,13.17,Rural: Fringe (41),"4,139"
6,Appomattox Co Pblc Schs,4,151,5,233,21121000,25436000,15.26,Rural: Distant (42),"2,304"
7,Arlington Co Pblc Schs,39,"1,916.10","4,719","3,725",549827000,530823000,13.66,City: Midsize (12),"26,176"
8,Augusta Co Pblc Schs,18,741.34,122,731,120271000,114460000,14.01,Rural: Fringe (41),"10,384"
9,Bath Co Pblc Schs,3,55.17,6,86,11004000,10694000,10.19,Rural: Remote (43),562
10,Bedford Co Pblc Schs,22,648.28,95,"1,108",103418000,98646000,14.97,Rural: Distant (42),"9,702"
11,Bland Co Pblc Schs,2,58.35,–,132,8344000,8306000,13.21,Rural: Distant (42),771
12,Botetourt Co Pblc Schs,13,330.62,61,650,52124000,51890000,14.08,Rural: Fringe (41),"4,654"
13,Brunswick Co Pblc Schs,5,148.02,28,233,21755000,21319000,11.62,Rural: Fringe (41),"1,720"
14,Buchanan Co Pblc Schs,10,216.4,3,488,35954000,37456000,13.5,Rural: Remote (43),"2,922"
15,Buckingham Co Pblc Schs,5,140.35,3,303,23341000,23503000,14.63,Rural: Remote (43),"2,054"
16,Campbell Co Pblc Schs,15,479.37,98,943,80466000,84266000,16.73,Rural: Fringe (41),"8,020"
17,Caroline Co Pblc Schs,5,218.5,89,561,41190000,40984000,19.68,Rural: Distant (42),"4,299"
18,Carroll Co Pblc Schs,11,303.79,100,673,42984000,47136000,12.63,Rural: Distant (42),"3,836"
19,Charles City Co Pblc Schs,2,59.6,11,99,9792000,9777000,11.39,Rural: Distant (42),679
20,Charlotte Co Pblc Schs,5,132.69,9,251,23632000,23240000,14.5,Rural: Remote (43),"1,924"
21,Chesterfield Co Pblc Schs,68,"3,810.23","3,272","7,428",619123000,589122000,15.76,Suburb: Large (21),"60,060"
22,Clarke Co Pblc Schs,4,143.09,36,234,27125000,24749000,13.94,Town: Fringe (31),"1,995"
23,Craig Co Pblc Schs,2,49,–,145,8093000,7996000,12.55,Rural: Distant (42),615
24,Culpeper Co Pblc Schs,11,550.91,596,853,94691000,89486000,14.89,Town: Distant (32),"8,202"
25,Cumberland Co Pblc Schs,4,98,21,141,15923000,20187000,13.92,Rural: Remote (43),"1,364"
26,Dickenson Co Pblc Schs,5,161,3,404,24951000,29323000,13.6,Rural: Remote (43),"2,189"
27,Dinwiddie Co Pblc Schs,7,273.11,54,600,50365000,47398000,16.09,Rural: Distant (42),"4,394"
28,Essex Co Pblc Schs,3,116.78,26,226,17500000,17501000,12.04,Town: Distant (32),"1,406"
29,Fairfax Co Pblc Schs,222,"12,487.62","35,232","25,800",2642632000,2812804000,15.01,Suburb: Large (21),"187,467"
30,Fauquier Co Pblc Schs,20,853.69,569,"1,578",137146000,140512000,12.96,Suburb: Large (21),"11,065"
31,Floyd Co Pblc Schs,5,126.11,54,295,20937000,20187000,16.19,Rural: Distant (42),"2,042"
32,Fluvanna Co Pblc Schs,5,233.09,47,427,38858000,41717000,15.39,Rural: Distant (42),"3,588"
33,Franklin Co Pblc Schs,16,540.25,121,"1,171",86041000,84002000,13.61,Town: Distant (32),"7,352"
34,Frederick Co Pblc Schs,18,919.62,628,"1,719",164558000,166390000,14.5,Rural: Fringe (41),"13,338"
35,Giles Co Pblc Schs,6,177.18,3,381,26375000,25175000,13.55,Town: Distant (32),"2,401"
36,Gloucester Co Pblc Schs,9,358.5,53,687,58868000,75991000,15.34,Rural: Fringe (41),"5,500"
37,Goochland Co Pblc Schs,5,194.62,47,333,28247000,32373000,13.33,Rural: Distant (42),"2,594"
38,Grayson Co Pblc Schs,8,119.36,19,271,21048000,21333000,13.77,Rural: Remote (43),"1,644"
39,Greene Co Pblc Schs,7,214.17,124,444,34492000,33148000,14.83,Town: Fringe (31),"3,177"
40,Greensville Co Pblc Schs,4,189.03,59,332,28798000,27356000,13.47,Rural: Fringe (41),"2,547"
41,Halifax Co Pblc Schs,12,445.92,50,943,55848000,55788000,11.63,Town: Remote (33),"5,187"
42,Hanover Co Pblc Schs,25,"1,214.63",218,"2,428",178283000,185757000,14.85,Suburb: Large (21),"18,039"
43,Henrico Co Pblc Schs,81,"2,936.02","3,085","6,544",532725000,522956000,17.52,Suburb: Large (21),"51,425"
44,Henry Co Pblc Schs,14,482.84,444,"1,057",76606000,74560000,15.55,Rural: Fringe (41),"7,508"
45,Highland Co Pblc Schs,2,23.05,3,39,4117000,3962000,9.46,Rural: Remote (43),218
46,Isle Of Wight Co Pblc Schs,9,335.92,33,697,64192000,73897000,16.23,Rural: Fringe (41),"5,451"
48,King Geo Co Pblc Schs,5,286.5,22,547,38602000,42859000,15.17,Town: Distant (32),"4,346"
49,King And Queen Co Pblc Schs,3,63.1,14,127,10142000,14121000,13.5,Rural: Distant (42),852
50,King William Co Pblc Schs,4,156.42,21,297,26577000,27673000,14.06,Rural: Distant (42),"2,199"
51,Lancaster Co Pblc Schs,3,95.8,11,169,17058000,16413000,12.75,Rural: Remote (43),"1,221"
52,Lee Co Pblc Schs,11,255.01,7,539,35971000,35572000,12.79,Rural: Distant (42),"3,262"
53,Loudoun Co Pblc Schs,93,"5,229.17","8,000","8,858",1090596000,1084249000,14.98,Suburb: Large (21),"78,348"
54,Louisa Co Pblc Schs,6,365.54,84,869,90206000,91165000,13.31,Rural: Distant (42),"4,864"
55,Lunenburg Co Pblc Schs,4,83.84,89,173,16577000,20553000,18.64,Rural: Remote (43),"1,563"
56,Madison Co Pblc Schs,4,129.82,6,202,26877000,31091000,13.41,Rural: Distant (42),"1,741"
57,Mathews Co Pblc Schs,3,92.87,11,161,14008000,13181000,11.75,Rural: Distant (42),"1,091"
58,Mecklenburg Co Pblc Schs,9,328.58,56,522,45923000,45438000,13.46,Rural: Fringe (41),"4,424"
59,Middlesex Co Pblc Schs,3,87.6,10,171,16330000,13998000,14.16,Rural: Distant (42),"1,240"
60,Montgomery Co Pblc Schs,21,755.22,229,959,122220000,112251000,12.81,City: Small (13),"9,674"
62,Nelson Co Pblc Schs,4,143.52,43,259,26191000,25638000,13.22,Rural: Distant (42),"1,898"
63,New Kent Co Pblc Schs,4,204.5,18,443,29108000,30495000,15.43,Rural: Distant (42),"3,156"
65,Northampton Co Pblc Schs,5,126.86,163,214,20319000,24502000,13.15,Rural: Remote (43),"1,668"
66,Northumberland Co Pblc Schs,3,103.74,23,201,17355000,17158000,12.55,Rural: Distant (42),"1,302"
67,Nottoway Co Pblc Schs,5,150.74,75,266,23133000,22839000,14.36,Rural: Distant (42),"2,165"
68,Orange Co Pblc Schs,11,360.88,141,536,54855000,57994000,14.16,Town: Distant (32),"5,109"
69,Page Co Pblc Schs,10,236.61,23,414,39412000,38974000,14.53,Rural: Distant (42),"3,438"
70,Patrick Co Pblc Schs,7,201.75,60,425,29418000,28536000,13.64,Rural: Distant (42),"2,752"
71,Pittsylvania Co Pblc Schs,19,616.91,165,"1,160",87566000,91490000,14.88,Rural: Distant (42),"9,182"
72,Powhatan Co Pblc Schs,7,302.28,12,568,44078000,48452000,14.11,Rural: Distant (42),"4,266"
73,Prince Edward Co Pblc Schs,4,164.81,29,318,25363000,24733000,12.95,Town: Remote (33),"2,134"
