NCES School ID,State School ID,State District ID,Low Grade*,High Grade*,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,longitude,latitude
5.10E+11,VA-052-0520820,VA-052,5,7,42,Rural: Distant,No,No,Yes,121,11.8,10.3,86,0,-83.5287292,36.6286411
5.10E+11,VA-052-0520880,VA-052,8,12,43,Rural: Remote,No,No,No,300,27.61,10.9,216,0,-83.4080355,36.6476314
5.10E+11,VA-052-0520670,VA-052,-1,4,42,Rural: Distant,No,No,Yes,274,18,15.2,167,0,-83.3666014,36.674751
5.10E+11,VA-052-0520630,VA-052,-1,5,43,Rural: Remote,No,No,Yes,449,29,15.5,272,0,-83.2336643,36.6505203
5.10E+11,VA-052-0520470,VA-052,6,8,42,Rural: Distant,No,No,Yes,212,19.77,10.7,149,0,-83.1236898,36.6842349
5.10E+11,VA-052-0520300,VA-052,9,12,42,Rural: Distant,No,No,No,674,65.25,10.3,481,0,-83.0888057,36.7310425
5.10E+11,VA-052-0520200,VA-052,-1,5,42,Rural: Distant,No,No,Yes,175,13.5,13,110,0,-83.0568509,36.7897595
5.10E+11,VA-052-0520290,VA-052,6,8,42,Rural: Distant,No,No,Yes,354,25.08,14.1,252,0,-83.0162515,36.7631465
5.10E+11,VA-052-0520330,VA-052,-1,5,42,Rural: Distant,No,No,Yes,365,23,15.9,229,0,-82.9927828,36.7301516
5.10E+11,VA-052-0520160,VA-052,-1,5,42,Rural: Distant,No,No,Yes,338,22,15.4,215,0,-82.9425089,36.7809761
5.10E+11,VA-084-0840750,VA-084,-1,4,42,Rural: Distant,No,No,Yes,355,20,17.8,194,38,-82.8029983,36.710187
5.10E+11,VA-096-0961012,VA-096,-1,4,41,Rural: Fringe,No,No,Yes,661,40,16.5,367,39,-82.7382544,36.8841601
5.10E+11,VA-096-0961010,VA-096,9,12,32,Town: Distant,No,No,No,697,39.72,17.5,318,37,-82.7377004,36.8805407
5.10E+11,VA-096-0961013,VA-096,5,8,41,Rural: Fringe,No,No,No,450,35.2,12.8,228,25,-82.7349671,36.8847113
5.10E+11,VA-084-0840020,VA-084,5,7,42,Rural: Distant,No,No,Yes,160,11.34,14.1,78,14,-82.6916805,36.7321295
5.10E+11,VA-084-0840260,VA-084,8,12,42,Rural: Distant,No,No,No,264,21.75,12.1,139,37,-82.691344,36.735492
5.10E+11,VA-119-1190020,VA-119,8,12,32,Town: Distant,No,No,No,279,22.17,12.6,118,15,-82.6334039,36.9299284
5.10E+11,VA-084-0840790,VA-084,-1,6,41,Rural: Fringe,No,No,Yes,187,13.25,14.1,63,29,-82.6289824,36.6173705
5.10E+11,VA-119-1190040,VA-119,-1,7,32,Town: Distant,No,No,Yes,510,37.4,13.6,295,32,-82.6209356,36.9405731
5.10E+11,VA-096-0960073,VA-096,-1,8,42,Rural: Distant,No,No,Yes,474,40.61,11.7,235,28,-82.5988682,37.1109083
5.10E+11,VA-096-0961000,VA-096,9,12,32,Town: Distant,No,No,No,684,39.76,17.2,261,46,-82.5981721,36.9551274
5.10E+11,VA-084-0840102,VA-084,0,3,42,Rural: Distant,No,No,Yes,101,6.33,16,83,0,-82.5768198,36.7752948
5.10E+11,VA-084-0840641,VA-084,-1,6,22,Suburb: Midsize,No,No,Yes,621,36.25,17.1,339,51,-82.5763723,36.6411079
5.10E+11,VA-096-0961020,VA-096,-1,4,32,Town: Distant,No,No,Yes,678,43,15.8,320,34,-82.5757108,36.9759345
5.10E+11,VA-096-0960320,VA-096,5,8,32,Town: Distant,No,No,No,496,34.37,14.4,125,8,-82.5757108,36.9759345
5.10E+11,VA-084-0840771,VA-084,7,9,22,Suburb: Midsize,No,No,No,482,35.14,13.7,217,39,-82.5695542,36.6392062
5.10E+11,VA-084-0840770,VA-084,10,12,22,Suburb: Midsize,No,No,No,502,29.48,17,207,40,-82.5694444,36.6401018
5.10E+11,VA-084-0840740,VA-084,-1,6,22,Suburb: Midsize,No,No,Yes,336,20.25,16.6,144,19,-82.5552256,36.6225647
5.10E+11,VA-096-0960653,VA-096,-1,4,32,Town: Distant,No,No,Yes,469,30.27,15.5,445,0,-82.4711185,36.9518024
5.10E+11,VA-084-0840042,VA-084,4,7,42,Rural: Distant,No,No,Yes,58,6.75,8.6,38,9,-82.4661941,36.8313068
5.10E+11,VA-096-0960651,VA-096,5,8,32,Town: Distant,No,No,No,357,28,12.8,217,20,-82.4645019,36.9440831
5.10E+11,VA-096-0960652,VA-096,9,12,32,Town: Distant,No,No,No,421,28.33,14.9,189,26,-82.4640401,36.9439917
5.10E+11,VA-084-0840670,VA-084,-1,6,41,Rural: Fringe,No,No,Yes,146,11.25,13,61,10,-82.4636828,36.6546804
5.10E+11,VA-084-0840780,VA-084,8,12,42,Rural: Distant,No,No,No,244,23.29,10.5,149,31,-82.4633443,36.7797901
5.10E+11,VA-026-0260020,VA-026,-1,5,43,Rural: Remote,No,No,Yes,523,30,17.4,242,69,-82.4429462,37.1580263
5.10E+11,VA-084-0840220,VA-084,-1,7,42,Rural: Distant,No,No,Yes,276,20.33,13.6,126,35,-82.422542,36.7502434
5.10E+11,VA-026-0260280,VA-026,6,8,43,Rural: Remote,No,No,No,472,39.02,12.1,242,52,-82.3891358,37.1322907
5.10E+11,VA-026-0260275,VA-026,9,12,43,Rural: Remote,No,No,No,636,54.98,11.6,301,90,-82.3891139,37.1334466
5.10E+11,VA-026-0260530,VA-026,-1,5,42,Rural: Distant,No,No,Yes,138,11,12.5,90,13,-82.3434628,37.0673055
5.10E+11,VA-096-0960871,VA-096,-1,8,42,Rural: Distant,No,No,Yes,195,17.75,11,106,16,-82.3123438,36.9063513
5.10E+11,VA-083-0830792,VA-083,1,7,42,Rural: Distant,No,No,Yes,443,25,17.7,272,40,-82.2960654,36.8711519
5.10E+11,VA-083-0830791,VA-083,8,12,42,Rural: Distant,No,No,No,382,19.55,19.5,322,57,-82.2955804,36.8713757
5.10E+11,VA-026-0260860,VA-026,-1,5,43,Rural: Remote,No,No,Yes,420,26,16.2,238,48,-82.2756648,37.1809841
5.10E+11,VA-094-0941020,VA-094,-1,5,41,Rural: Fringe,No,No,Yes,321,24,13.4,152,26,-82.2719934,36.6316499
5.10E+11,VA-083-0830820,VA-083,-1,0,42,Rural: Distant,No,No,Yes,124,6.5,19.1,92,6,-82.2449745,36.8370245
5.10E+11,VA-102-1020070,VA-102,-1,5,13,City: Small,No,No,Yes,283,16.75,16.9,277,0,-82.2072386,36.5974668
5.10E+11,VA-102-1020010,VA-102,6,8,13,City: Small,No,No,No,495,42.33,11.7,374,0,-82.1833445,36.6052334
5.10E+11,VA-102-1020080,VA-102,9,12,13,City: Small,No,No,No,672,53.29,12.6,285,33,-82.1799593,36.6142894
5.10E+11,VA-102-1020090,VA-102,-1,5,13,City: Small,No,No,Yes,202,14.75,13.7,195,0,-82.1786364,36.6113017
5.10E+11,VA-102-1020060,VA-102,-1,5,13,City: Small,No,No,Yes,192,14.75,13,189,0,-82.164072,36.6069647
5.10E+11,VA-014-0141040,VA-014,-1,8,43,Rural: Remote,No,No,Yes,769,57.5,13.4,434,75,-82.1459274,37.3090596
